Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread
5_20+kn+my_003.nd2 - C=0.tif,0,0,1.0,0.7430586381392046,0.04959383877840909,1.0125612814125913,0.8551911598072099,0.72418212890625,0.00067138671875,0.6611728783498723,0.2749423055018115,0.5319319140435729,-0.0997985755420559,-0.004210147135317477,-0.011681438703218194,0.084935226,0.15025379,0.81574064,0.9199139
4_31_A-A+kn_004.nd2 - C=1.tif,0,0,1.0,0.4520924886067708,0.5137278238932291,0.9029598691332812,1.9335455538794546,0.454376220703125,0.015492757161458334,-1.316236133996715,1.135411583075448,-1.3145156011307615,0.11617904212305419,0.5355253931258832,-0.12387849191143685,0.28497285,-0.09683168,1.6794357,0.065412074
4_17_A-A+kn_002.nd2 - C=1.tif,0,0,0.9405940594059405,0.3628151633522727,0.5981112393465909,1.1353779013763192,0.9159630873039524,0.22114054361979166,0.05499267578125,9.584975254702139,1.432193169326607,0.17141833136233106,-8.534538083650178,0.2398943783455707,2.004845803964658,1.1285943,1.5114796,1.8660834,0.042343225
4_17_A-A+kn_002.nd2 - C=0.tif,0,0,1.0,0.5443170720880682,0.4786155007102273,0.9209246817538896,1.2152760364109323,0.4921875,0.015645345052083332,18.945386960903647,0.9393022762505248,0.7237900076732926,-1.570601865686207,0.27768889734867763,-6.209760822745375,1.1277595,1.4941278,1.8657912,0.04596756
4_10_A-A+kn_001.nd2 - C=0.tif,0,0,1.0,0.6489424272017046,0.24315296519886365,0.8473665998907303,1.4575829396917221,0.6571451822916666,0.0016988118489583333,17.712272043847605,0.5992422895924003,0.6704133974702429,-4.613855866263965,0.20959519174274188,0.17037716580251938,0.17454152,0.037207454,1.7980312,1.0324174
4_47_A-A+kn_006.nd2 - C=1.tif,0,0,0.05714285714285714,0.2176846590909091,0.6406471946022727,1.0058802163980807,1.008798651130242,0.15203857421875,0.11667887369791667,5.669155201008531,1.0077551512177827,-3.713394121322307,0.7374824795467978,-0.07804657570205897,0.20000640067358688,0.098782614,-0.036851227,1.7339728,0.20500119
12_31+kn+noxlinktest_008.nd2 - C=1.tif,0,0,0.923728813559322,0.5106658935546875,0.5991973876953125,1.112240965085095,0.9070561808273746,0.385162353515625,0.02520751953125,3.6741261411462034,0.7914308381720624,-1.302083133219076,-4.342726911545336,-0.49511135688451774,2.258802716538621,0.30846518,-0.027997226,1.6763259,0.043575596
8_51_M-M+kn_001.nd2 - C=0.tif,0,0,1.0,0.7325661399147727,0.1287841796875,0.989162954646864,2.1287764705882353,0.7094217936197916,0.0008443196614583334,31.875194908073507,0.3660665664214238,0.555824954849545,-10.724491422201067,-0.021177866188820282,0.00025777798385651085,0.5401935,1.1292644,0.11693689,1.1492071
10_06_M-M+kn+my_004.nd2 - C=0.tif,0,0,0.8615384615384616,0.61981201171875,0.46090262276785715,0.966104525838511,1.2683001277351074,0.536895751953125,0.0032806396484375,3.9630252064582216,0.5692709476799152,0.677135434225243,0.01735872324069332,-0.06619758885271126,-0.02657454954446159,0.63532627,0.22390401,-1.2206028,0.3115327
10_06_M-M+kn+my_004.nd2 - C=1.tif,0,0,0.8769230769230769,0.5582972935267857,0.5646885463169643,1.2095521823426492,1.0940050440435947,0.3226776123046875,0.0613555908203125,531.8791991970646,0.8460207728701687,0.688302749378355,253.75695454257894,-0.27228988941861954,-0.21669272057040118,0.6806887,0.40983492,-1.1483877,0.20408489
